x,0.3971,0.3379,0.1154,0.1414,0.1423,0.1422,0.1415,0.1414,0.1414,0.1412,0.1412,0.1411,0.1411,0.141,0.1411,0.1411,0.1409,0.1409,0.1409,0.1408,0.1408,0.1408,0.1406
y,0.336,0.5556,0.3415,0.041,0.0391,0.0404,0.0399,0.0403,0.0409,0.0407,0.0408,0.0409,0.0412,0.0409,0.0411,0.0413,0.0411,0.0411,0.0413,0.0412,0.0411,0.0413,0.0415
,,,,,,,,,,,,,,,,,,,,,,,
ipRGC-Influenced Responses to Light,,,,,,,,,,,,,,,,,,,,,,,
404,3.83E-08,0.00E+00,0.00E+00,0.00E+00,1.49E-06,2.14E-08,3.91E-07,0.00E+00,1.08E-07,5.04E-07,0.00E+00,2.73E-08,0.00E+00,1.84E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.41E-06
405,0.00E+00,0.00E+00,0.00E+00,1.54E-08,1.99E-06,1.45E-07,1.80E-07,0.00E+00,4.32E-08,4.70E-06,1.98E-06,1.22E-07,0.00E+00,7.36E-08,0.00E+00,8.84E-08,9.57E-08,1.02E-07,0.00E+00,1.16E-07,0.00E+00,0.00E+00,4.56E-06
406,0.00E+00,4.85E-08,0.00E+00,2.13E-08,2.73E-06,6.83E-08,1.67E-07,0.00E+00,1.28E-07,9.29E-06,3.73E-06,0.00E+00,2.20E-07,1.02E-07,0.00E+00,1.22E-07,2.83E-07,1.41E-07,2.25E-06,1.60E-07,0.00E+00,2.04E-07,6.17E-06
407,0.00E+00,2.52E-08,0.00E+00,0.00E+00,2.98E-06,0.00E+00,6.59E-08,7.71E-08,3.55E-08,6.72E-06,3.97E-06,0.00E+00,1.15E-07,3.20E-07,0.00E+00,0.00E+00,4.95E-07,0.00E+00,1.41E-06,1.51E-06,0.00E+00,6.70E-07,8.66E-06
408,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.33E-06,2.39E-06,7.35E-09,8.61E-09,0.00E+00,4.61E-06,1.33E-06,0.00E+00,0.00E+00,2.39E-07,0.00E+00,4.89E-07,4.65E-08,2.81E-07,1.15E-05,9.78E-06,1.31E-05,6.51E-06,7.53E-07
409,4.12E-08,0.00E+00,0.00E+00,1.04E-08,3.64E-06,3.19E-06,3.09E-08,2.41E-08,0.00E+00,3.35E-06,1.39E-06,0.00E+00,5.68E-06,5.96E-06,2.80E-08,4.51E-07,3.60E-06,3.46E-08,1.44E-05,7.50E-06,9.67E-06,8.71E-06,4.94E-06
410,0.00E+00,0.00E+00,0.00E+00,6.40E-08,1.22E-06,1.70E-06,1.89E-07,1.47E-07,0.00E+00,4.36E-06,4.56E-06,1.16E-07,3.97E-06,3.74E-07,1.72E-07,2.76E-06,5.29E-06,4.92E-07,1.15E-05,4.10E-06,7.80E-06,1.69E-06,6.38E-06
411,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.86E-07,7.32E-08,2.92E-06,1.58E-07,2.05E-06,9.11E-06,6.89E-06,2.90E-06,1.97E-06,1.09E-07,0.00E+00,6.29E-06,7.38E-06,2.26E-06,9.93E-06,3.44E-07,1.00E-05,4.80E-06,8.43E-06
412,0.00E+00,3.15E-08,3.15E-08,9.46E-08,8.77E-08,4.49E-08,6.38E-06,9.65E-08,3.91E-06,8.03E-06,5.41E-06,4.64E-06,0.00E+00,0.00E+00,0.00E+00,1.06E-05,6.95E-06,4.24E-06,1.10E-05,2.10E-07,1.20E-05,7.64E-06,1.24E-05
413,0.00E+00,5.14E-09,4.54E-08,9.60E-08,1.17E-08,6.28E-06,1.70E-06,1.58E-06,5.19E-06,1.00E-05,4.91E-06,1.24E-05,1.83E-07,0.00E+00,0.00E+00,1.11E-05,8.01E-06,5.31E-06,4.88E-06,3.04E-06,1.47E-05,6.08E-06,6.50E-06
